id,rank,rot1,rot2,rot3,rot4,rot5,rot6,rot7,rot8,rot9,rot10,rot11,notes
88,,PC I FP/COMM PSY Trang Sparks WesternU/Patient Care Center Pomona ,SELEC - - ,SURG David Wong ARMC-Graduate Medical Education Colton ,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,"INT MED Anita Kundi R Anita Kundi, DO Chino ",SELEC - - ,PC II URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,EM Tiana Davison R San Gorgonio Memorial Hospital Banning ,"PC III INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",
89,,SELEC - - ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,EM Alyssa Weiner R RUHS (Riverside University Health System) Moreno Valley ,"INT MED James Song James Song, MD Hacienda Heights ","PC I INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ","FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ",PC II URGENT CARE Isidore Kwaw Sunset Urgent Care Hollywood ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PC III URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale ,SELEC - - ,
90,,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,PEDS Alfred Lavi United Care Family Medical Center Los Angeles ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SELEC - - ,"FP/COMM PSY Manuel Momjian SC Physician Group, Inc. Glendale ","PC I INT MED David Zarian David Zarian, MD Encino ",SELEC - - ,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,PC III URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale ,EM M. Agron Methodist Hospital of Southern California Arcadia ,SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,
91,,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,"INT MED David Zarian David Zarian, MD Encino ","PC I INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,SELEC - - ,"PEDS Happy Khanna Happy Khanna, MD, Inc Glendale ",FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,SELEC - - ,OB/GYN Marlon Brooks Providence Holy Cross Mission Hills GOOD,IN Frank Figueroa Glendale Adventist Medical Center Glendale ,PC III URGENT CARE Raffi Kazazian R Prohealth Glendale Occupational Medical Group Glendale  FALL,
92,,EPSR Reza Ahmadinia St. Mary Medical Center Apple Valley ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PC I FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,SELEC - - ,EM Naomi Bjornstad St. Bernadine Medical Center San Bernardino ,SURG David Wong ARMC-Graduate Medical Education Colton ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ",PC III URGENT CARE Jane Himmelvo Above Urgent Care Center Montclair ,SELEC - - ,
93,,OB/GYN K Kevin Daneshgar R Monterey Park Hospital Monterey Park ,SELEC - - ,SURG Simon Keushkerian Glendale Adventist Medical Center Glendale ,PEDS Chi Truong Emanate Health West Covina ,PC II CARDIO Hooman Madyoon Westside Cardiovascular Beverly Hills ,IN Kevin Hua Emanate Health West Covina ,"INT MED Jasmin Javaherian R Jasmin Javaharian, DO Ventura ","PC I INT MED James Song James Song, MD Hacienda Heights ",SELEC - - ,FP/COMM PSY Alfred Lavi United Care Family Medical Center Los Angeles ,PC III INT MED Manuk (Mike) Chulyan R Edgemont Medical Clinic Los Angeles ,
94,,PEDS Chi Truong Emanate Health West Covina ,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,EM M. Agron Methodist Hospital of Southern California Arcadia ,SURG Michael  Jimenez Pomona Valley Hospital Medical Center Pomona ,"INT MED Viney Soni R Viney Soni, MD Fountain Valley ",PC II GASTRO Dennis Riff Associated Gastroenterology Medical Group Anaheim GOOD,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,OB/GYN George  Ahad R Clinic for Women Anaheim Anaheim GOOD,PC III URGENT CARE Bruce Albert Newport Urgent Care Newport Beach ,SELEC - - ,
95,,FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills 09/01 / 22-09 / 30/22 FALL GOOD,SELEC - - ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,SURG Anthony Oh Emanate Health West Covina ,"INT MED James Song James Song, MD Hacienda Heights ",EM Tiana Davison R San Gorgonio Memorial Hospital Banning ,PC II URGENT CARE Jackson  Alparce Concentra/US Health Works Chino Chino ,SELEC - - ,FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,PC III URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,
96,,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills 09/01 / 22-09 / 30/22 FALL GOOD,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,SELEC - - ,FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona ,SELEC - - ,"INT MED James Song James Song, MD Hacienda Heights ",PC II URGENT CARE Thuy Nguyen Central Urgent Medical Care Montclair ,SURG David Wong ARMC-Graduate Medical Education Colton ,IN Joseph Casas St. Mary Medical Center Apple Valley ,PC III URGENT CARE Stephen Turay Kaiser Permanente Ontario Ontario ,
97,,PC I FP/COMM PSY Thomas Oliveira Thomas Oliveira DO Lake Elsinore ,SELEC - - ,FP/COMM PSY Michael Lee Concentra Urgent Care-Pomona Pomona ,EM Tiana Davison R San Gorgonio Memorial Hospital Banning ,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,SURG Anthony Oh Emanate Health West Covina ,PC II CARDIO Ramanna Merla R Chaparral Medical Group Pomona Pomona GOOD,"INT MED Anita Kundi R Anita Kundi, DO Chino ",SELEC - - ,PC III FP/COMM PSY Laura Norton Norton Delgado Family Medicine Rancho Cucamonga ,
98,,SELEC - - ,SELEC - - ,FP/COMM PSY Atul Bembi West Point Medical Clinic Fontana ,PC I FP/COMM PSY Ofelia Narvasa Ofelia Narvasa MD Chino Hills GOOD,PC II GASTRO Fernando  Ibarra R Monterey Park Hospital Monterey Park ,SURG Robinson Baron Emanate Health West Covina ,INT MED Gerald Ho Arthritis Center Alhambra ,PEDS Atul Bembi West Point Medical Clinic Fontana ,EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,OB/GYN Reza Ahmadinia - Apple Valley ,"PC III INT MED Anita Kundi R Anita Kundi, DO Chino ",
99,,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,SELEC - - ,SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego ,FP/COMM PSY Stewart  Wilkey Waring Court Pediatric and Adult Medical Group Oceanside ,OB/GYN Anmar  Mansour Contemporary OB/GYN San Diego ,PEDS Sushil Anand Sunshine Pediatrics Upland ,EM Tiana Davison R San Gorgonio Memorial Hospital Banning ,INT MED - - ,PC III FP/COMM PSY Collin Teguh North Park Medical Center San Diego ,PC II CARDIO Payam Mehranpour Sharp Healthcare San Diego ,
100,,SELEC - - ,INT MED - - ,PEDS Sushil Anand Sunshine Pediatrics Upland ,PC II CARDIO Payam Mehranpour Sharp Healthcare San Diego ,SELEC - - ,"PC I INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",OB/GYN Anmar Mansour Contemporary OB/GYN San Diego ,FP / COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego ,PC III FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,EM Kenneth Moore Pomona Valley Hospital Medical Center Pomona ,
101,,PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo GOOD,SELEC - - ,PC II UROL - Genesis Healthcare San Diego ,FP/COMM PSY Stewart  Wilkey Waring Court Pediatric and Adult Medical Group Oceanside ,SELEC - - ,INT MED - - ,SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego GOOD,OB/GYN Anmar Mansour Contemporary OB/GYN San Diego  SUMMER,PEDS Sushil Anand Sunshine Pediatrics Upland ,PC III URGENT CARE John Cheng South Coast Medical Group Aliso Viejo GOOD,EM James Nelson Pioneers Memorial Hospital Brawley ,
102,,FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo GOOD,SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego GOOD,OB/GYN Reza Ahmadinia St. Mary Medical Center Apple Valley ,PEDS Reza Ahmadinia St. Mary Medical Center Apple Valley ,SELEC - - ,EM Tiana Davison R San Gorgonio Memorial Hospital Banning ,"INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",PC I FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo GOOD,SELEC - - ,PC II CARDIO Payam Mehranpour Sharp Healthcare San Diego ,PC III FP/COMM PSY Stewart  Wilkey Waring Court Pediatric and Adult Medical Group Oceanside ,
103,,INT MED - - ,"PC I INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego ,FP / COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,EM James Nelson Pioneers Memorial Hospital Brawley ,PEDS Sushil Anand Sunshine Pediatrics Upland ,PC II UROL - Genesis Healthcare San Diego ,SELEC - - ,PC III URGENT CARE John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,OB/GYN Anmar Mansour Contemporary OB/GYN San Diego ,
104,,SELEC - - ,PC II GASTRO - Genesis Healthcare San Diego ,SURG Brad Bartos - San Diego ,INT MED - - ,OB/GYN Anmar  Mansour Contemporary OB/GYN San Diego ,FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,PC I FP/COMM PSY Collin Teguh North Park Medical Center San Diego ,PEDS Sushil Anand Sunshine Pediatrics Upland ,"PC III INT MED Abayomi Odubela R Abayomi Odubela, MD Temecula ",SELEC - - ,EM James Nelson Pioneers Memorial Hospital Brawley ,
105,,SELEC - - ,PEDS Sushil Anand Sunshine Pediatrics Upland ,PC I INT MED Abayomi Odubela Health Care Medical Group La Mesa ,SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego ,INT MED - - ,EM James Nelson Pioneers Memorial Hospital Brawley ,FP/COMM PSY Stewart  Wilkey Waring Court Pediatric and Adult Medical Group Oceanside ,PC II GASTRO - Genesis Healthcare San Diego ,OB/GYN Anmar Mansour Contemporary OB/GYN San Diego ,PC III URGENT CARE John Cheng South Coast Medical Group Aliso Viejo ,SELEC - - ,
106,,PC II GASTRO - Genesis Healthcare San Diego ,SELEC - - ,PC I FP/COMM PSY Collin Teguh North Park Medical Center San Diego ,SURG Brad Bartos Kaiser Permanente San Diego    Surgery Dept. San Diego ,PEDS Sushil Anand Sunshine Pediatrics Upland ,EM James Nelson Pioneers Memorial Hospital Brawley ,INT MED - - ,FP/COMM PSY Stewart  Wilkey Waring Court Pediatric and Adult Medical Group Oceanside ,SELEC - - ,OB/GYN Anmar Mansour Contemporary OB/GYN San Diego ,PC III FP/COMM PSY John Cheng South Coast Medical Group Aliso Viejo ,
